Photo,URL,Date/Time Original (Capture),Camera Make,Width,Height,File Type
/Volumes/Ladyhawke/RawPhotos/downloaded-smart-previews/DSC00205-2.JPG,lightroom://com.johnrellis.anyfilter/3752AACA-AD87-49EF-A956-09371B0C712D,2016-03-05 16:45:25,Sony,2560.0,1920.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotoImports/2024/2024-06-01/IMG_4732.CR3,lightroom://com.johnrellis.anyfilter/661635EA-9F44-432C-B074-5BC47A3FC207,2024-06-01 10:20:46+02:00,Canon,2560.0,1707.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotos/2016/2016-06-22/_JD00038.NEF,lightroom://com.johnrellis.anyfilter/E7F970B1-744D-4026-ACA1-32CCD0487CDF,2016-06-22 17:16:35,Nikon,2560.0,1700.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotos/2018/2018-02-15/_JD05207.NEF,lightroom://com.johnrellis.anyfilter/2201356F-1141-47E2-957E-62ED16247741,2018-02-15 08:23:28,Nikon,4288.0,2848.0,Raw
/Volumes/Ladyhawke/RawPhotoImports/2024/2024-06-28/IMG_4110.HEIC,lightroom://com.johnrellis.anyfilter/D6618294-74E9-48D4-8F16-2AD5840B40B8,2024-06-28 19:28:11-05:00,Apple,2560.0,1920.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotoImports/2024/2024-05-12/IMG_8534.HEIC,lightroom://com.johnrellis.anyfilter/8B38F098-AFFD-4387-92C4-624C39C17430,2024-05-12 10:13:24+02:00,Apple,2560.0,1920.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotoImports/2024/2024-06-02/IMG_0141.HEIC,lightroom://com.johnrellis.anyfilter/144F20C8-8030-4A7B-8CFA-8DDAFC39BCC5,2024-06-02 08:54:43+02:00,Apple,2560.0,1920.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotos/downloaded-smart-previews/DSC00540.JPG,lightroom://com.johnrellis.anyfilter/1D8D4FAB-327A-4246-96BA-46188BED8496,2016-06-10 15:18:19,Sony,2560.0,1920.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotos/2017/2017-09-12/P9127209.ORF,lightroom://com.johnrellis.anyfilter/57A5642F-5F56-42BE-8983-41B18F2262EB,2017-09-12 11:50:01,Olympus,2560.0,1920.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotoImports/2024/2024-05-31/IMG_4541.CR3,lightroom://com.johnrellis.anyfilter/FA190769-7D22-4374-BA64-5A4134F770F3,2024-05-31 15:39:18+02:00,Canon,2560.0,1707.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotos/2017/2017-09-23/P9239559.ORF,lightroom://com.johnrellis.anyfilter/DCC1D27D-2505-4BFF-88E3-2C03AF3FF7B4,2017-09-23 10:07:45,Olympus,2560.0,1920.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotos/downloaded-smart-previews/_JD07781.NEF,lightroom://com.johnrellis.anyfilter/679A7605-2CFC-49A9-AC65-7AE2D6B98C2A,2016-05-30 11:03:29,Nikon,2560.0,1700.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotoImports/2024/2024-05-16/IMG_2756.CR3,lightroom://com.johnrellis.anyfilter/DE85CECF-7205-4D70-86F7-65F7F75EDAF5,2024-05-16 18:39:14+02:00,Canon,2560.0,1707.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotoImports/2024/2024-05-30/IMG_9604.HEIC,lightroom://com.johnrellis.anyfilter/39C3C016-A34C-4CDF-868E-72B0A2DFA200,2024-05-30 10:02:56+02:00,Apple,2560.0,1920.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotos/2022/2022-11-14/18- Originals -#1573-012.JPG,lightroom://com.johnrellis.anyfilter/621F56B4-13DD-4801-AC05-9BE5791154F5,2022-11-14 21:27:38,,1716.0,2560.0,Digital Negative (DNG)
/Volumes/Ladyhawke/RawPhotos/downloaded-smart-previews/DSC01495.JPG,lightroom://com.johnrellis.anyfilter/B0D7CE97-50E1-424C-8E14-FA68BB78B21B,2016-07-30 13:39:41,Sony,2560.0,1920.0,Digital Negative (DNG)
